Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
Ethereum,ETH,30-12-2019,136.7573567,131.5455629,134.7965167,132.6334889,9796951716,14468140712
Ethereum,ETH,31-12-2019,133.7326736,128.7981504,132.612268,129.6108594,8936866397,14139765786
Ethereum,ETH,01-01-2020,132.8353569,129.1982846,129.6306557,130.8020081,7935230330,14271059633
Ethereum,ETH,02-01-2020,130.8200377,126.9549107,130.8200377,127.4101824,8032709256,13902505466
Ethereum,ETH,03-01-2020,134.5540137,126.4900198,127.4112613,134.1717125,10476845358,14642130120
Ethereum,ETH,04-01-2020,136.0527142,133.0405511,134.1685232,135.0693713,7430904515,14741946278
Ethereum,ETH,05-01-2020,139.4102021,135.0456292,135.072094,136.2767767,7526675353,14875569430
Ethereum,ETH,06-01-2020,144.3281824,136.079632,136.3055474,144.3041537,9093747121,15753803340
Ethereum,ETH,07-01-2020,145.0017748,140.4888772,144.3119902,143.5439983,9257954672,15672773110
Ethereum,ETH,08-01-2020,146.8280003,138.2682023,143.4878285,141.2581344,9387194957,15425115411
Ethereum,ETH,09-01-2020,141.393989,136.2364044,141.1557768,138.9791967,7697325348,15178151517
Ethereum,ETH,10-01-2020,144.1673215,135.5203966,138.9670434,143.9637812,9084816203,15724494553
Ethereum,ETH,11-01-2020,146.480905,142.2079547,143.4091082,142.9271145,9332208590,15613213640
Ethereum,ETH,12-01-2020,146.1458663,142.7076457,143.0325426,145.8739312,8528167453,15937115426
Ethereum,ETH,13-01-2020,146.7912337,142.907138,146.2201326,144.2265911,8378529470,15759102081
Ethereum,ETH,14-01-2020,167.6815537,144.0649254,144.2510488,165.9553586,16712318373,18135588271
Ethereum,ETH,15-01-2020,170.4256684,161.1096205,165.7346149,166.2306851,15173694057,18167930411
Ethereum,ETH,16-01-2020,167.0581487,159.709646,166.3328309,164.391011,13735193018,17969103321
Ethereum,ETH,17-01-2020,173.0692067,162.775606,164.4893786,170.779958,14997091826,18669811576
Ethereum,ETH,18-01-2020,178.5287823,166.7890156,170.7477207,175.3656715,14929342256,19173512823
Ethereum,ETH,19-01-2020,177.2476285,163.6768599,175.4675968,166.969842,13713374132,18257853532
Ethereum,ETH,20-01-2020,169.1148796,162.3315983,166.9041329,167.1205093,11144529787,18276600992
Ethereum,ETH,21-01-2020,169.9101158,165.8197191,167.0604715,169.6971639,9789369362,18560711557
Ethereum,ETH,22-01-2020,171.0086959,166.7742318,169.6085392,168.2941617,9209827928,18409534609
Ethereum,ETH,23-01-2020,168.3122412,160.295319,168.2957066,162.9285584,10396868698,17824835899
Ethereum,ETH,24-01-2020,164.3094467,156.7497446,162.8993733,163.0511829,10657671162,17840465424
Ethereum,ETH,25-01-2020,163.227227,158.6324774,163.0672894,161.2839364,8256956802,17649296256
Ethereum,ETH,26-01-2020,168.2203172,160.2811268,161.1768228,168.0771005,9261861590,18394952135
Ethereum,ETH,27-01-2020,172.9229136,166.9010976,168.0088573,170.9308904,11004476145,18709615891
